# x y z  nx ny nz   (pre-displacement Vertex::N = bake ride input)
-3.10069 3.48457 0.02345  0.967522 -0.252788 -0.000000
-3.19450 3.29695 0.02345  0.982609 -0.182811 -0.032547
-3.19450 3.08588 0.02345  0.998612 0.000000 0.052679
-3.20366 4.49303 -0.03441  0.962177 0.110230 -0.249127
-3.15906 4.07089 -0.04895  0.932088 0.189966 -0.308423
-3.09217 3.85981 -0.07076  0.932516 0.074816 -0.353295
-3.11447 3.48457 -0.06349  0.941350 -0.190939 -0.278213
-3.20366 3.29695 -0.03441  0.924222 -0.246628 -0.291529
-3.20366 3.08588 -0.03441  0.966017 0.000000 -0.258480
-3.23032 4.49303 -0.08677  0.838124 0.110236 -0.534225
-3.19238 4.07089 -0.11436  0.776989 0.206673 -0.594621
-3.13548 3.85981 -0.15574  0.806401 0.079745 -0.585968
-3.15445 3.48457 -0.14195  0.800359 -0.145618 -0.581568
-3.23032 3.29695 -0.08677  0.763084 -0.285899 -0.579625
-3.23032 3.08588 -0.08677  0.838932 0.000000 -0.544236
-3.27190 4.49303 -0.12835  0.584181 0.110439 -0.804075
-3.24431 4.07089 -0.16628  0.552565 0.206901 -0.807381
-3.20293 3.85981 -0.22318  0.624132 0.074828 -0.777727
-3.21672 3.48457 -0.20422  0.555490 -0.190974 -0.809296
-3.27190 3.29695 -0.12835  0.521308 -0.246227 -0.817074
-3.27190 3.08588 -0.12835  0.629610 0.000000 -0.776912
-3.32425 4.49303 -0.15501  0.249127 0.110230 -0.962177
-3.30971 4.07089 -0.19961  0.308421 0.189966 -0.932089
-3.28791 3.85981 -0.26650  0.353294 0.074817 -0.932516
-3.29517 3.48457 -0.24420  0.278212 -0.190940 -0.941350
-3.32425 3.29695 -0.15501  0.243345 -0.246324 -0.938141
-3.32425 3.08588 -0.15501  0.358726 -0.000000 -0.933443
-3.38212 4.48282 -0.16935  -0.031610 -0.826647 -0.561832
-3.33186 4.48282 -0.16274  0.114880 -0.826648 -0.550869
-3.28503 4.48282 -0.14334  0.281056 -0.827061 -0.486804
-3.24481 4.48282 -0.11248  0.397473 -0.827061 -0.397474
-3.21395 4.48282 -0.07226  0.486803 -0.827061 -0.281056
-3.19455 4.48282 -0.02543  0.542958 -0.827061 -0.145485
-3.18794 4.48282 0.02483  0.562112 -0.827061 0.000000
-3.19455 4.48282 0.07509  0.542959 -0.827061 0.145485
-3.21395 4.48282 0.12192  0.486803 -0.827061 0.281056
-3.24481 4.48282 0.16214  0.397473 -0.827061 0.397474
-3.28503 4.48282 0.19299  0.281056 -0.827061 0.486804
