# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created
24.09896 0.02000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  34  rooms  0.000 1 1
23.96887 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  9  rooms  0.000 1 1
23.96887 -0.00356 -75.91647  0.000000 -0.003563 -0.003944  0.005315  42.09 42.09  5  rooms  0.000 1 1
23.87475 -0.02875 -75.96684  -0.006344 -0.048752 -0.054314  0.073260  42.15 42.15  3  rooms  0.000 1 1
23.87666 -0.04899 -75.96700  0.000000 -0.048986 -0.054474  0.073260  41.96 41.96  5  rooms  0.000 1 1
22.60668 0.02000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  34  rooms  0.000 1 1
23.77340 -0.00020 -75.91275  0.000000 -0.000203 -0.000229  0.000306  41.55 41.55  2  rooms  0.000 1 1
22.47807 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  8  rooms  0.000 1 1
22.47807 -0.01185 -75.92641  0.000000 -0.011845 -0.013893  0.018257  40.45 40.45  5  rooms  0.000 1 1
22.41659 0.20793 -75.98608  0.000000 0.000000 -0.073555  0.073555  0.00 0.00  7  rooms  0.000 1 1
22.33848 0.01243 -75.92147  -0.001270 -0.007571 -0.008949  0.011791  40.62 40.62  5  rooms  0.000 1 1
22.33975 -0.00095 -75.91364  0.000000 -0.000953 -0.001122  0.001472  40.36 40.36  3  rooms  0.000 1 1
22.29796 -0.00048 -75.91309  0.000000 -0.000476 -0.000565  0.000739  40.14 40.14  2  rooms  0.000 1 1
19.48109 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  8  rooms  0.000 1 1
19.40766 -0.02885 -75.97702  -0.011959 -0.048852 -0.064499  0.081790  37.95 37.95  3  rooms  0.000 1 1
19.41962 0.20793 -75.99431  0.000000 0.000000 -0.081787  0.081787  0.00 0.00  7  rooms  0.000 1 1
19.36478 -0.01546 -75.95942  -0.008726 -0.035458 -0.046898  0.059438  37.91 37.91  3  rooms  0.000 1 1
19.32701 0.01841 -75.91463  -0.000393 -0.001591 -0.002106  0.002669  37.90 37.90  3  rooms  0.000 1 1
19.32740 0.20793 -75.94313  0.000000 0.000000 -0.030609  0.030609  0.00 0.00  7  rooms  0.000 1 1
17.90300 0.17281 -75.96264  -0.010445 -0.035128 -0.050110  0.062081  36.19 36.17  6  rooms  0.000 1 1
24.78343 0.00727 -73.42453  0.000000 0.007268 0.000000  0.007268  0.00 0.00  4  floor::mirUV  1.000 1 1
23.79981 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  floor::mirUV  1.000 1 1
23.79981 0.00844 -72.59521  0.000000 0.008445 0.000000  0.008445  0.00 0.00  6  floor::mirUV  1.000 1 1
23.79981 0.00256 -69.27789  0.000000 0.002563 0.000000  0.002563  0.00 0.00  8  floor::mirUV  1.000 1 1
23.79981 0.00609 -67.61922  0.000000 0.006092 0.000000  0.006092  0.00 0.00  7  floor::mirUV  1.000 1 1
22.81619 -0.00038 -66.78990  0.000000 -0.000379 0.000000  0.000379  0.00 0.00  4  floor::mirUV  1.000 1 1
20.84894 0.00139 -71.76588  0.000000 0.001386 0.000000  0.001386  0.00 0.00  4  floor::mirUV  1.000 1 1
21.83257 0.00256 -69.27789  0.000000 0.002563 0.000000  0.002563  0.00 0.00  6  floor::mirUV  1.000 1 1
20.84894 -0.00038 -66.78991  0.000000 -0.000379 0.000000  0.000379  0.00 0.00  4  floor::mirUV  1.000 1 1
19.86532 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  floor::mirUV  1.000 1 1
17.89808 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  9  floor::mirUV  1.000 1 0
18.88170 0.01495 -73.42454  0.000000 0.014946 0.000000  0.014946  0.00 0.00  4  floor::mirUV  1.000 1 1
18.88170 0.00492 -71.76588  0.000000 0.004915 0.000000  0.004915  0.00 0.00  4  floor::mirUV  1.000 1 1
19.86532 0.00315 -70.93655  0.000000 0.003151 0.000000  0.003151  0.00 0.00  8  floor::mirUV  1.000 1 1
18.88170 0.00746 -70.10722  0.000000 0.007464 0.000000  0.007464  0.00 0.00  4  floor::mirUV  1.000 1 1
19.86532 0.01492 -69.27789  0.000000 0.014916 0.000000  0.014916  0.00 0.00  8  floor::mirUV  1.000 1 1
18.88170 -0.00038 -66.78991  0.000000 -0.000379 0.000000  0.000379  0.00 0.00  4  floor::mirUV  1.000 1 1
17.89808 0.00000 -67.61923  0.000000 0.000000 0.000000  0.000000  0.00 0.00  4  floor::mirUV  1.000 1 1
31.55641 0.00505 -75.90837  0.000000 0.005046 0.004150  0.006533  50.56 50.56  2  rooms  0.000 1 1
30.06176 0.00752 -75.90596  0.000000 0.007516 0.006561  0.009977  48.88 48.88  2  rooms  0.000 1 1
27.08112 0.00566 -75.90697  0.000000 0.005657 0.005554  0.007928  45.53 45.53  2  rooms  0.000 1 1
28.55655 0.00550 -75.90742  0.000000 0.005497 0.005096  0.007496  47.17 47.17  2  rooms  0.000 1 1
27.03885 0.00020 -75.91232  0.000000 0.000201 0.000198  0.000283  45.41 45.41  2  rooms  0.000 1 1
29.23279 0.00110 -75.91153  0.000000 0.001097 0.000992  0.001479  47.88 47.88  2  rooms  0.000 1 1
29.19052 0.00113 -75.91150  0.000000 0.001126 0.001022  0.001521  47.77 47.77  2  rooms  0.000 1 1
26.21804 0.00077 -75.91174  0.000000 0.000774 0.000786  0.001103  44.57 44.57  2  rooms  0.000 1 1
33.41319 0.01029 -75.90469  0.000000 0.010287 0.007828  0.012927  52.73 52.73  2  rooms  0.000 1 1
28.85240 0.01073 -75.90269  0.000000 0.010727 0.009827  0.014547  47.51 47.51  2  rooms  0.000 1 1
32.60535 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
29.52864 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
26.61140 0.00000 -75.91252  0.000000 0.000000 0.000000  0.000000  0.00 0.00  2  rooms  0.000 1 1
31.73123 0.00478 -75.90863  0.000000 0.004777 0.003891  0.006161  50.84 50.84  2  rooms  0.000 1 1
30.22890 0.00843 -75.90521  0.000000 0.008427 0.007309  0.011155  49.06 49.06  2  rooms  0.000 1 1
28.72561 0.01103 -75.90237  0.000000 0.011033 0.010155  0.014995  47.37 47.37  2  rooms  0.000 1 1
