# wx wy wz  dvx dvy dvz  mag  devMax devMin  nfaces  mat  pNy nPar created weld
19.43498 1.80813 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.08 0.00  8  rooms  0.000 1 1 0
25.42894 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
24.61437 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
23.86129 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
23.81518 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
23.75370 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  4  rooms  0.000 1 1 0
23.03136 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.09 0.00  5  rooms  0.000 1 1 0
22.98525 1.74486 -76.01665  0.000000 0.000013 -0.104141  0.104141  0.09 0.00  5  rooms  0.000 1 1 0
22.29364 1.74485 -76.01665  0.000002 0.000000 -0.104141  0.104141  0.17 0.00  4  rooms  0.000 1 1 0
21.58666 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  6  rooms  0.000 1 1 0
20.86430 1.74499 -76.01667  -0.000013 0.000141 -0.104141  0.104141  0.25 0.00  5  rooms  0.000 1 1 0
20.80284 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.08 0.00  5  rooms  0.000 1 1 0
19.37354 1.74444 -76.01665  0.000034 -0.000406 -0.104141  0.104142  0.32 0.02  5  rooms  0.000 1 1 0
18.54358 1.74485 -76.01666  0.000000 0.000000 -0.104141  0.104141  0.00 0.00  5  rooms  0.000 1 1 0
18.51285 1.74485 -76.01666  0.000013 0.000000 -0.104141  0.104141  0.07 0.00  6  rooms  0.000 1 1 0
17.90846 1.69391 -76.00105  -0.020350 -0.050940 -0.088524  0.104141  31.78 31.78  5  rooms  0.000 1 1 0
24.61437 1.68156 -75.91372  0.000000 0.000000 -0.001198  0.001198  0.00 0.00  12  rooms  0.000 1 1 0
24.55290 1.68156 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  4  rooms  0.000 1 1 0
24.50679 1.68156 -76.00666  0.000000 0.000000 -0.094139  0.094139  0.00 0.00  7  rooms  0.000 1 1 0
24.46068 1.68156 -75.93049  0.000000 0.000000 -0.017967  0.017967  0.00 0.00  5  rooms  0.000 1 1 0
21.52517 1.68156 -75.98078  -0.000011 0.000000 -0.068260  0.068260  0.00 0.00  7  rooms  0.000 1 1 0
20.11123 1.68156 -75.92990  0.000000 0.000000 -0.017380  0.017380  0.18 0.00  12  rooms  0.000 1 1 0
18.54358 1.68156 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  5  rooms  0.000 1 1 0
18.51285 1.68156 -76.00666  0.000011 0.000000 -0.094139  0.094139  0.00 0.00  5  rooms  0.000 1 1 0
17.89785 1.68156 -75.91274  -0.000225 0.000000 -0.000221  0.000316  45.49 44.51  9  rooms  0.000 2 1 0
24.46068 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  5  rooms  0.000 1 1 0
23.07746 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  9  rooms  0.000 1 1 0
23.03136 0.30738 -75.98137  0.000000 0.000000 -0.068848  0.068848  0.00 0.00  8  rooms  0.000 1 1 0
22.98525 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  4  rooms  0.000 1 1 0
21.58666 0.30738 -75.94961  -0.000004 0.000000 -0.037079  0.037079  0.10 0.00  11  rooms  0.000 1 1 0
20.11123 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.11 0.00  8  rooms  0.000 1 1 0
19.97290 0.30738 -75.94960  0.000000 0.000000 -0.037079  0.037079  0.00 0.00  6  rooms  0.000 1 1 0
18.54358 0.30738 -76.00549  0.000000 0.000000 -0.092964  0.092964  0.00 0.00  7  rooms  0.000 1 1 0
18.45136 0.30738 -75.94961  0.000000 -0.000005 -0.037079  0.037079  0.00 0.00  5  rooms  0.000 1 1 0
