# mat  ax ay az  bx by bz  cx cy cz
rooms  3.68752 4.68089 -0.54775  3.80458 4.74598 -1.03911  3.80458 4.74598 -0.97580
rooms  3.68752 4.68089 -0.54775  3.67811 4.68089 -1.89521  3.80458 4.74598 -1.03911
rooms  3.67811 4.68089 -1.89521  3.80458 4.74598 -1.89521  3.80458 4.74598 -1.03911
rooms  3.67811 4.68089 -1.89521  3.75193 4.68089 -1.95550  3.80458 4.74598 -1.89521
rooms  3.75193 4.68089 -1.95550  3.80458 4.74598 -1.95550  3.80458 4.74598 -1.89521
rooms  3.75193 4.68089 -1.95550  3.74899 4.68089 -1.98866  3.80458 4.74598 -1.95550
rooms  3.74899 4.68089 -1.98866  3.80458 4.74598 -1.98866  3.80458 4.74598 -1.95550
rooms  3.74899 4.68089 -1.98866  3.68693 4.68089 -2.04895  3.80458 4.74598 -1.98866
rooms  3.68693 4.68089 -2.04895  3.80458 4.74598 -2.04895  3.80458 4.74598 -1.98866
rooms  3.68693 4.68089 -2.04895  3.80458 4.74598 -2.38657  3.80458 4.74598 -2.04895
rooms  3.68693 4.68089 -2.04895  3.80458 4.74598 -2.45289  3.80458 4.74598 -2.38657
rooms  3.68693 4.68089 -2.04895  3.80458 4.74598 -2.51619  3.80458 4.74598 -2.45289
rooms  3.68693 4.68089 -2.04895  3.67805 4.68144 -2.64026  3.80458 4.74598 -2.51619
rooms  3.67805 4.68144 -2.64026  3.80285 4.76264 -2.65291  3.80458 4.74598 -2.51619
rooms  3.68919 4.74996 3.53561  3.80458 4.74598 3.48257  3.69289 4.81505 3.53602
rooms  3.80458 4.74598 3.48257  3.71399 4.80987 3.48257  3.69289 4.81505 3.53602
rooms  3.80458 4.74598 3.48257  3.80458 4.74598 2.60537  3.71399 4.80987 3.48257
rooms  3.80458 4.74598 2.60537  3.80458 4.74598 2.53905  3.71399 4.80987 3.48257
rooms  3.80458 4.74598 2.53905  3.80458 4.74598 2.47575  3.71399 4.80987 3.48257
rooms  3.80458 4.74598 2.47575  3.80458 4.74598 2.08990  3.71399 4.80987 2.08990
rooms  3.80458 4.74598 2.47575  3.71399 4.80987 2.08990  3.71399 4.80987 3.48257
rooms  3.80458 4.74598 2.08990  3.80458 4.74598 2.02961  3.71399 4.80987 2.08990
rooms  3.80458 4.74598 2.02961  3.75516 4.80987 2.02961  3.71399 4.80987 2.08990
rooms  3.80458 4.74598 2.02961  3.80458 4.74598 1.99343  3.75516 4.80987 2.02961
rooms  3.80458 4.74598 1.99343  3.73281 4.80987 1.99343  3.75516 4.80987 2.02961
rooms  3.80458 4.74598 1.99343  3.80458 4.74598 1.93616  3.71399 4.80987 1.93616
rooms  3.80458 4.74598 1.99343  3.71399 4.80987 1.93616  3.73281 4.80987 1.99343
rooms  3.80458 4.74598 1.93616  3.80458 4.74598 1.10417  3.71399 4.80987 1.93616
rooms  3.80458 4.74598 1.10417  3.80458 4.74598 1.04690  3.71399 4.80987 1.93616
rooms  3.80458 4.74598 1.04690  3.80458 4.74598 1.01072  3.71399 4.80987 1.93616
rooms  3.80458 4.74598 1.01072  3.80458 4.74598 0.95043  3.71399 4.80987 1.93616
rooms  3.80458 4.74598 0.95043  3.80458 4.74598 0.58870  3.71399 4.80987 1.93616
rooms  3.80458 4.74598 0.58870  3.71399 4.80987 0.58870  3.71399 4.80987 1.93616
rooms  3.80458 4.74598 0.58870  3.80458 4.74598 0.53142  3.71399 4.80987 0.58870
rooms  3.80458 4.74598 0.53142  3.73546 4.80987 0.53142  3.71399 4.80987 0.58870
rooms  3.80458 4.74598 0.53142  3.80458 4.74598 0.49525  3.74663 4.80987 0.49525
rooms  3.80458 4.74598 0.53142  3.74663 4.80987 0.49525  3.73546 4.80987 0.53142
rooms  3.80458 4.74598 0.49525  3.80458 4.74598 0.43496  3.71399 4.80987 0.43496
rooms  3.80458 4.74598 0.49525  3.71399 4.80987 0.43496  3.74663 4.80987 0.49525
rooms  3.80458 4.74598 0.43496  3.80458 4.74598 -0.37291  3.71399 4.80987 0.43496
rooms  3.80458 4.74598 -0.37291  3.80458 4.74598 -0.43019  3.71399 4.80987 0.43496
rooms  3.80458 4.74598 -0.43019  3.80458 4.74598 -0.49047  3.71399 4.80987 0.43496
rooms  3.80458 4.74598 -0.49047  3.80458 4.74598 -0.54775  3.71399 4.80987 0.43496
rooms  3.80458 4.74598 -0.54775  3.80458 4.74598 -0.91250  3.71399 4.80987 0.43496
rooms  3.80458 4.74598 -0.91250  3.71399 4.80987 -0.91250  3.71399 4.80987 0.43496
rooms  3.80458 4.74598 -0.91250  3.80458 4.74598 -0.97580  3.71399 4.80987 -0.91250
rooms  3.80458 4.74598 -0.97580  3.74693 4.80987 -0.97580  3.71399 4.80987 -0.91250
rooms  3.80458 4.74598 -0.97580  3.80458 4.74598 -1.03911  3.71399 4.80987 -1.03911
rooms  3.80458 4.74598 -0.97580  3.71399 4.80987 -1.03911  3.74693 4.80987 -0.97580
rooms  3.80458 4.74598 -1.03911  3.80458 4.74598 -1.89521  3.71399 4.80987 -1.03911
rooms  3.80458 4.74598 -1.89521  3.80458 4.74598 -1.95550  3.71399 4.80987 -1.03911
rooms  3.80458 4.74598 -1.95550  3.80458 4.74598 -1.98866  3.71399 4.80987 -1.03911
rooms  3.80458 4.74598 -1.98866  3.80458 4.74598 -2.04895  3.71399 4.80987 -1.03911
rooms  3.80458 4.74598 -2.04895  3.80458 4.74598 -2.38657  3.71399 4.80987 -2.38657
rooms  3.80458 4.74598 -2.04895  3.71399 4.80987 -2.38657  3.71399 4.80987 -1.03911
rooms  3.80458 4.74598 -2.38657  3.80458 4.74598 -2.45289  3.71399 4.80987 -2.38657
rooms  3.80458 4.74598 -2.45289  3.73752 4.80987 -2.45289  3.71399 4.80987 -2.38657
rooms  3.80458 4.74598 -2.45289  3.80458 4.74598 -2.51619  3.73752 4.80987 -2.45289
rooms  3.80458 4.74598 -2.51619  3.71399 4.80987 -2.51619  3.73752 4.80987 -2.45289
rooms  3.80458 4.74598 -2.51619  3.80285 4.76264 -2.65291  3.71341 4.81539 -2.64377
rooms  3.80458 4.74598 -2.51619  3.71341 4.81539 -2.64377  3.71399 4.80987 -2.51619
rooms  3.69289 4.81505 3.53602  3.71399 4.80987 3.48257  3.69018 5.00426 3.48442
rooms  3.69289 4.81505 3.53602  3.69018 5.00426 3.48442  3.73434 5.01785 3.54063
rooms  3.71399 4.80987 3.48257  3.71399 4.80987 2.08990  3.69294 5.00446 2.09112
rooms  3.69294 5.00446 2.09112  3.65729 4.99447 2.76075  3.71399 4.80987 3.48257
rooms  3.71399 4.80987 2.08990  3.75516 4.80987 2.02961  3.69294 5.00446 2.09112
rooms  3.75516 4.80987 2.02961  3.75217 5.02052 2.03436  3.69294 5.00446 2.09112
rooms  3.75516 4.80987 2.02961  3.73281 4.80987 1.99343  3.75217 5.02052 2.03436
rooms  3.73281 4.80987 1.99343  3.73065 5.01463 1.99682  3.75217 5.02052 2.03436
rooms  3.73281 4.80987 1.99343  3.71399 4.80987 1.93616  3.67595 4.99981 1.93631
rooms  3.67595 4.99981 1.93631  3.73065 5.01462 1.99380  3.73281 4.80987 1.99343
rooms  3.71399 4.80987 1.93616  3.71399 4.80987 0.58870  3.67855 5.00035 0.58876
rooms  3.67855 5.00035 0.58876  3.66143 4.99610 1.21833  3.71399 4.80987 1.93616
rooms  3.71399 4.80987 0.58870  3.73546 4.80987 0.53142  3.67855 5.00035 0.58876
rooms  3.73546 4.80987 0.53142  3.73379 5.01342 0.53202  3.67855 5.00035 0.58876
rooms  3.73546 4.80987 0.53142  3.74663 4.80987 0.49525  3.74467 5.01594 0.49587
rooms  3.73546 4.80987 0.53142  3.74467 5.01594 0.49587  3.73379 5.01342 0.53202
rooms  3.74663 4.80987 0.49525  3.71399 4.80987 0.43496  3.68285 5.00134 0.43502
rooms  3.68285 5.00134 0.43502  3.68285 5.00134 0.44709  3.74663 4.80987 0.49525
rooms  3.71399 4.80987 0.43496  3.71399 4.80987 -0.91250  3.68285 5.00134 0.43502
rooms  3.69126 5.00276 -0.91318  3.65553 4.99524 -0.32435  3.71399 4.80987 -0.91250
rooms  3.71399 4.80987 -0.91250  3.74693 4.80987 -0.97580  3.69126 5.00276 -0.91318
rooms  3.74693 4.80987 -0.97580  3.74541 5.01369 -0.97869  3.69126 5.00276 -0.91318
rooms  3.74693 4.80987 -0.97580  3.71399 4.80987 -1.03911  3.68492 5.00144 -1.03959
rooms  3.74693 4.80987 -0.97580  3.68492 5.00144 -1.03959  3.74541 5.01369 -0.97869
rooms  3.71399 4.80987 -1.03911  3.71399 4.80987 -2.38657  3.67282 4.99902 -2.38652
rooms  3.67282 4.99902 -2.38652  3.65212 4.99525 -1.86661  3.71399 4.80987 -1.03911
rooms  3.71399 4.80987 -2.38657  3.73752 4.80987 -2.45289  3.67282 4.99902 -2.38652
rooms  3.73752 4.80987 -2.45289  3.73638 5.00977 -2.45844  3.67282 4.99902 -2.38652
rooms  3.73752 4.80987 -2.45289  3.71399 4.80987 -2.51619  3.73638 5.00977 -2.45844
rooms  3.71399 4.80987 -2.51619  3.69074 5.00203 -2.51775  3.73638 5.00977 -2.45844
rooms  3.71399 4.80987 -2.51619  3.71341 4.81539 -2.64377  3.65664 4.99636 -2.63821
rooms  3.71399 4.80987 -2.51619  3.65664 4.99636 -2.63821  3.69074 5.00203 -2.51775
rooms  2.45465 4.99912 -4.94193  2.92929 4.99912 -4.06469  2.96289 4.80987 -4.08231
